,Unnamed: 0,HYP_Erate_emr,HYP_Qrate_emr,scale_factor_Ep_temp,scale_factor_P_temp,1_NSE,RMSE
579,579,1.3910351322601486,95.65031235423469,1.0000070274834754,1.0000028512612007,109.06124369689765,3.810992927021432
580,580,1.0728926226922813,121.47022869411796,1.0000086904820524,0.9999942388530272,198.85011070618734,5.145953272865697
581,581,2.210367825058592,163.87386511298982,0.9999977931748246,1.0000007794515773,4.248737139044296,0.7521991724313829
582,582,2.8431218623653667,131.4031476828269,1.0000076269201563,0.9999984928443538,13.845093386079807,1.3578470856729419
583,583,2.388550861651833,77.89168379249621,0.9999932111266824,0.9999933704576376,0.47968168683395884,0.25274320533176886
584,584,2.286252366923982,163.23137176046822,1.000002036526748,0.9999900417706163,5.7601550321975745,0.875830380966193
585,585,2.701702742932768,93.99617496454287,0.9999959173819264,1.0000044447050784,5.208766113466481,0.8328568236061509
586,586,1.3036472666138124,71.11411626702375,0.9999925932995002,0.9999948489662333,207.9312383790754,5.262144743245111
587,587,1.4392270362857411,110.51907670545368,0.99999419843066,0.9999928171011658,70.14906711929052,3.0564258896399856
588,588,2.456255232879101,56.06728520586046,1.0000086946106452,0.999995453691991,1.8811512560075205,0.500512327160489
589,589,1.8446967093966005,68.55503853535384,0.999993738495256,1.0000069297847585,37.11086257729143,2.2230715676588404
590,590,2.2852123816607284,169.41838039230208,1.0000086192095472,0.999993746050536,6.398425782450888,0.9230803119987345
591,591,2.7395249271604447,121.73801276596652,0.9999982045308572,1.0000036962815495,10.202695423280604,1.1656290992483453
592,592,2.855722185747461,148.97808639844305,0.99999929818448,0.9999999079035486,16.624548042817484,1.4879140456642426
593,593,1.6253633634600309,176.10190620955822,0.99999459381567,1.0000005520458133,4.730619002298092,0.7937100981868268
594,594,2.1070594749304288,82.62595298689794,0.9999958237687928,0.9999998235844418,4.442212486513202,0.7691350166231427
595,595,1.740774664315918,176.765805037342,1.000001246965464,0.9999984190100312,1.1937234719191134,0.3987078500746314
596,596,1.2951998391321242,138.73493828089386,1.0000005671912875,1.0000000727078917,78.28743501958358,3.2288580449172275
597,597,2.587000392281941,185.5498838022804,0.9999919989111702,0.9999983657686856,15.310017797303349,1.4278768995557611
598,598,1.101637464174125,178.60057565474185,1.000001935333048,0.9999999211140136,101.24694101857298,3.6719256180357918
599,599,1.0472382101287263,140.8840624873218,1.0000021862686963,1.0000025555045788,176.70210839821107,4.850916348845611
600,600,1.034867642240254,164.81894156103544,0.9999937792909632,1.0000079048736257,146.5613842360633,4.417867626362014
601,601,2.6476475311376864,177.33543283924672,1.0000014510540676,0.9999994612222828,15.717336808272183,1.446746364436778
602,602,1.1881444523801266,137.22314576185974,0.9999937148939692,1.0000090356196338,118.77289485940076,3.9770549414057874
603,603,1.6330600578651553,114.38656862862582,0.9999937885088556,0.99999665629716,26.624462411439676,1.8829697517703308
604,604,1.25129363187971,120.2858002766038,0.9999982434655404,1.0000011934087736,119.39311858326387,3.9874253715564403
605,605,2.613538206964328,103.49450905932834,1.000008620601683,1.0000090797761705,5.003838511730669,0.8163089581183816
606,606,2.45716374445343,132.4921926717431,1.0000032861908037,0.9999948889147194,5.804214567125076,0.879173621602487
607,607,1.9108370697280377,113.1976611259392,1.0000054845656845,1.0000006525727492,4.392218435512987,0.7647947271076054
608,608,1.4588129112432653,158.1669730368842,0.9999986716438304,0.9999988180791612,25.5529815464151,1.8446913463594872
609,609,2.81883706608813,183.93787674948675,1.0000014578170435,0.999999082319427,20.28728304689458,1.6436708912171671
610,610,2.596988609368001,53.57981869668295,0.999997415023452,1.0000056527499557,0.6792573065897297,0.3007600020671085
611,611,2.9405505065046165,160.00922674463567,0.9999900550231758,0.999991205191439,19.87060672123047,1.6267038095233868
612,612,2.2297986917137553,92.75279378285244,0.9999924520744872,0.999993012007746,0.6242051498574307,0.288314572277581
613,613,2.4103322581039546,111.68917729155316,0.9999977626307373,0.999995888354383,2.5847767139642532,0.5866977680329741
614,614,1.0395155489394536,186.24138210703484,0.9999965118216338,0.9999963299779072,117.92747887258825,3.9628754844446448
615,615,1.489143759729745,197.14367634127655,0.9999900160538522,0.9999960653251344,8.586285977489034,1.069314840805551
616,616,1.083732966604774,53.94910747891561,0.9999946229799064,0.9999945422188212,379.88542805697017,7.11261395001297
617,617,1.6126792060774493,94.8558596435814,0.999990539424074,1.000004608998212,47.59920798438306,2.51769306136114
618,618,1.8196125784476171,101.6496208503633,0.9999994484394712,0.9999949691687534,13.61587068903118,1.3465597502071052
619,619,2.190360137235259,165.73480393898683,1.000004606639885,0.9999937348221392,4.027357745743423,0.7323404530862893
620,620,2.3231656652519,75.27315765852643,0.9999965591268354,0.9999924958319594,1.0297289529524236,0.3703090976325948
621,621,1.4890894348478887,143.75167874329992,0.9999941596680676,0.9999985275223252,29.068231570661364,1.9674886035889794
622,622,2.1091345640302217,64.8412716391063,0.9999990230961628,0.9999990361705804,11.78337562789962,1.2526731849737318
623,623,2.052591434452117,133.15280159517283,1.0000097432627302,0.999993525299708,0.41892281133869336,0.23619457832081045
