,HYP_Erate_emr,HYP_Qrate_emr,scale_factor_Ep_temp,scale_factor_P_temp
first,0.3077140605197144,0.5777365633120777,0.13184565533971218,0.33326709710796804
total,-999.0,-999.0,-0.06755714965014903,-999.0
